date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:12	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2022%20Sep%202018%2007:49:48%20GMT	http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.eot	(from http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
12:44:13	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2022%20Sep%202018%2007:49:48%20GMT	http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfontd41d.eot	(from http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
12:44:15	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2022%20Sep%202018%2007:49:46%20GMT	http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.svg	(from http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
12:44:17	330285/330285	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:50%20GMT	http://tavonline.net/html/madrid/img/work-9.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/work-9.jpg	(from http://tavonline.net/html/madrid/)
12:44:17	1120/1120	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2007:47:42%20GMT	http://tavonline.net/html/madrid/css/owl.theme.min.css	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/css/owl.theme.min.css	(from http://tavonline.net/html/madrid/about.html)
12:44:17	1064/1064	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2007:47:43%20GMT	http://tavonline.net/html/madrid/css/owl.carousel.min.css	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/css/owl.carousel.min.css	(from http://tavonline.net/html/madrid/about.html)
12:44:17	3163/3163	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2007:49:33%20GMT	http://tavonline.net/html/madrid/icon-fonts/web-design/flaticon.css	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/icon-fonts/web-design/flaticon.css	(from http://tavonline.net/html/madrid/about.html)
12:44:19	10074/10074	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2007:47:40%20GMT	http://tavonline.net/html/madrid/single-blog.html	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/single-blog.html	(from http://tavonline.net/html/madrid/blogs-page.html)
12:44:26	83588/83588	---M--	200	added ('OK')	font/woff	date:Sat,%2022%20Sep%202018%2007:49:47%20GMT	http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.woff	(from http://tavonline.net/html/madrid/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
12:44:30	77081/77081	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:09%20GMT	http://tavonline.net/html/madrid/img/about.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/about.jpg	(from http://tavonline.net/html/madrid/about.html)
12:44:38	44629/44629	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:16%20GMT	http://tavonline.net/html/madrid/img/singlework/thegang-2.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/thegang-2.jpg	(from http://tavonline.net/html/madrid/work-1.html)
12:44:47	314044/314044	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:52%20GMT	http://tavonline.net/html/madrid/img/blog-hero.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/blog-hero.jpg	(from http://tavonline.net/html/madrid/css/style.css)
12:45:03	151686/151686	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:07%20GMT	http://tavonline.net/html/madrid/img/singlework/thegang-5.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/thegang-5.jpg	(from http://tavonline.net/html/madrid/work-1.html)
12:45:19	93272/93272	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:08%20GMT	http://tavonline.net/html/madrid/img/singlework/thegang-4.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/thegang-4.jpg	(from http://tavonline.net/html/madrid/work-1.html)
12:45:23	224197/224197	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:15%20GMT	http://tavonline.net/html/madrid/img/singlework/thegang-3.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/thegang-3.jpg	(from http://tavonline.net/html/madrid/work-1.html)
12:45:35	98133/98133	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:07%20GMT	http://tavonline.net/html/madrid/img/singlework/factorie-2.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/factorie-2.jpg	(from http://tavonline.net/html/madrid/work-2.html)
